sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
C1-C1c-C1b-C1al,25,0.49037670873096423,-0.4027122988837491,6.7769998447270706e-06,0.0,7.728796695178182e-17,-0.0037326302241435373,0.004356184710557851,0.11218887811121829,-4.400724018677713e-05,-0.0
C3ae-C3-C3f-C3bj-C3p,26,-0.4579483820114942,-0.118933834951898,0.000766366943925945,1.515923422530085e-15,-4.0293784997918594e-16,0.0107536088082193,0.0863002948292732,-4.57981969823605e-16,-0.025296651133424858,-0.0
C3ae/C3g/C3/C3f-C21-C3bj,27,-0.36316629521518085,-0.0834903426313947,0.004111088813126985,8.569638899400237e-15,-3.082335453889295e-15,-0.3863974791800127,-0.09824062822484426,-9.908263770222224e-17,-1.8262808667344553e-05,-0.0
C3ae-C3-C3f-C3bj-C3p-C3ch,28,-0.4576320484838246,-0.1198812011809343,-0.002965289415477214,-6.109971423133453e-15,2.164404519124888e-15,-0.005215982130997183,0.09432394652819355,2.289909849118025e-16,0.024336115120189326,-0.0
C3v,29,0.1963158813521542,0.33175497197586806,-0.16756533373944826,0.5685606906127552,0.10035972510382005,-0.011855680599388366,0.008826322547462004,-1.370643154880741e-16,-8.59022614319614e-05,-0.0
C116,30,0.19631588135215425,0.33175497197586823,-0.1675653337372934,-0.37119441676352194,0.4422081391124299,-0.0118556805993886,0.008826322547462009,-1.370643154880741e-16,-8.59022614319614e-05,-0.0
C1,31,0.49037670873096384,-0.402712298883749,6.776999844755234e-06,2.6383717658672573e-18,3.8886429366192526e-17,-0.003732630224143539,0.004356184710557898,-0.11218887811121858,-4.4007240186614434e-05,-0.0
C3bj,32,0.08024859715382976,0.24166195171559834,0.6314186438097823,1.289584142698008e-12,-4.348722236804842e-13,0.06690470685425035,-0.013524585913186888,-1.2000008343935805e-16,0.0002906430458350351,-0.0
C115k,33,0.19631588135215416,0.33175497197586795,-0.16756533373832666,-0.19736627385025976,-0.5425678642159038,-0.011855680599388366,0.008826322547462037,-1.3266064270130868e-16,-8.590226143196042e-05,-0.0
C3ae,34,-0.37120293296172013,-0.10919689111147687,-0.13064836293597923,-2.669344323424622e-13,9.005667872991067e-14,0.3569874478949926,-0.10405036428293903,-1.0128447409560497e-16,0.0010338770407274174,-0.0
proportion_explained,0,0.3314332835408833,0.19507728431684934,0.12828611245913324,0.12828118566531851,0.12828118566531846,0.07230227103880855,0.009563882222997136,0.0064583647168536705,0.0003164303738378096,0.0
