coral_id,reef_zone,bleaching_status,depth_m,month,DatePhotoTaken,photoID,color_bin
101,forereef,healthy,14,May,18-May,P5180049,4
102,forereef,bleached,14,May,18-May,P5180002,2
103,forereef,bleached,14,May,18-May,P5180011,1
104,forereef,healthy,14,May,18-May,P5180018,4
105,forereef,bleached,14,May,18-May,P5180024,1
107,forereef,bleached,14,May,18-May,P5180046,2
108,forereef,indet,14,May,18-May,P5180032,3
109,forereef,bleached,14,May,18-May,P5180029,1
110,forereef,bleached,14,May,18-May,P5180027,1
111,forereef,bleached,14,May,18-May,P5180037,2
112,forereef,bleached,14,May,18-May,P5180008,1
113,forereef,bleached,14,May,18-May,P5180051,3
114,forereef,bleached,14,May,18-May,P5180005,1
115,forereef,bleached,14,May,15-May,P5150172,1
116,forereef,bleached,14,May,18-May,P5180053,1
118,forereef,bleached,14,May,18-May,P5180015,1
119,forereef,bleached,14,May,18-May,P5180020,1
122,forereef,bleached,14,May,18-May,P5180041,1
123,forereef,bleached,14,May,15-May,P5150134,2
124,forereef,bleached,14,May,15-May,P5150109,1
125,forereef,bleached,14,May,15-May,P5150106,1
126,forereef,bleached,14,May,15-May,P5150111,1
127,forereef,bleached,14,May,18-May,P5180091,2
128,forereef,bleached,14,May,18-May,P5180155,1
129,forereef,healthy,14,May,18-May,P5180208,3
129,forereef,bleached,14,May,15-May,P5150116,2
130,forereef,bleached,14,May,15-May,P5150119,1
131,forereef,bleached,14,May,15-May,P5150122,1
132,forereef,bleached,14,May,15-May,P5150131,1
133,forereef,bleached,14,May,18-May,P5180204,2
134,forereef,bleached,14,May,18-May,P5180211,1
135,forereef,bleached,14,May,15-May,P5150161,1
137,forereef,bleached,14,May,18-May,P5180160,1
138,forereef,bleached,14,May,18-May,P5180177,1
139,forereef,bleached,14,May,15-May,P5150156,1
140,forereef,bleached,14,May,15-May,P5150149,2
141,forereef,bleached,14,May,15-May,P5150153,1
144,forereef,bleached,14,May,18-May,P5180169,2
145,forereef,bleached,14,May,18-May,P5180173,1
146,forereef,bleached,14,May,18-May,P5180166,1
154,forereef,bleached,14,May,18-May,P5180099,1
164,forereef,bleached,14,August,31-Jul,P7310014,1
166,forereef,bleached,14,August,31-Jul,P7310010,1
171,forereef,bleached,14,May,18-May,P5180064,1
172,forereef,healthy,14,May,18-May,P5180071,4
174,forereef,bleached,14,May,18-May,P5180068,1
175,forereef,bleached,14,May,15-May,P5150113,1
179,forereef,bleached,14,May,16-May,P5160239,1
180,forereef,bleached,14,May,16-May,P5160242,2
181,forereef,bleached,14,May,16-May,P5160247,1
182,forereef,bleached,14,May,16-May,P5160251,1
183,forereef,bleached,14,May,16-May,P5160254,2
184,forereef,bleached,14,May,16-May,P5160258,1
185,forereef,bleached,14,May,16-May,P5160261,1
186,forereef,bleached,14,May,16-May,P5160265,1
187,forereef,bleached,14,May,16-May,P5160268,1
188,forereef,bleached,14,May,16-May,P5160271,2
189,forereef,bleached,14,May,16-May,P5160274,1
190,forereef,bleached,14,May,16-May,P5160277,1
191,forereef,bleached,14,May,16-May,P5160280,1
192,forereef,bleached,14,May,16-May,P5160289,1
193,forereef,bleached,14,May,16-May,P5160283,1
194,forereef,bleached,14,May,16-May,P5160286,1
209,forereef,bleached,14,May,16-May,P5160294,1
212,forereef,bleached,14,May,16-May,P5160296,1
213,crest,healthy,5,May,19-May,P5190932,3
214,crest,healthy,5,May,19-May,P5190926,4
214,crest,healthy,5,October,9-Oct,PA092551,4
215,crest,healthy,5,May,19-May,P5190885,4
216,crest,bleached,5,May,19-May,P5190908,1
217,crest,healthy,5,May,19-May,P5190849,4
218,crest,healthy,5,May,19-May,P5190898,5
218,crest,healthy,5,October,6-Oct,PA062257,5
219,crest,bleached,5,May,19-May,P5190881,1
220,crest,bleached,5,May,19-May,P5190855,1
221,crest,bleached,5,May,19-May,P5190846,1
222,crest,bleached,5,May,19-May,P5190836,1
223,crest,bleached,5,May,19-May,P5190929,1
224,crest,bleached,5,May,19-May,P5190910,1
224,crest,healthy,5,October,6-Oct,PA062254,4
225,crest,healthy,5,May,19-May,P5190923,4
225,crest,healthy,5,October,9-Oct,PA092548,5
226,crest,healthy,5,May,19-May,P5190839,5
226,crest,healthy,5,October,9-Oct,PA092541,5
227,crest,healthy,5,May,19-May,P5190902,4
227,crest,healthy,5,October,6-Oct,PA062262,4
228,crest,healthy,5,May,19-May,P5190872,4
228,crest,healthy,5,October,9-Oct,PA092535,4
229,crest,bleached,5,May,19-May,P5190869,1
230,crest,healthy,5,May,19-May,P5190913,5
230,crest,healthy,5,October,6-Oct,PA062260,4
231,crest,healthy,5,May,19-May,P5190858,5
231,crest,healthy,5,October,9-Oct,PA092544,5
232,crest,bleached,5,May,19-May,P5190916,2
233,forereef,bleached,14,May,16-May,P5160300,2
234,forereef,bleached,14,May,16-May,P5160304,2
235,forereef,bleached,14,May,16-May,P5160308,2
236,forereef,bleached,14,May,16-May,P5160311,1
237,forereef,bleached,14,May,16-May,P5160315,1
238,forereef,bleached,14,May,16-May,P5160318,1
239,forereef,bleached,14,May,16-May,P5160321,1
240,forereef,bleached,14,May,16-May,P5160324,1
241,forereef,bleached,14,May,16-May,P5160327,1
242,forereef,bleached,14,May,16-May,P5160330,1
248,crest,healthy,5,May,23-May,P5231525,5
248,crest,healthy,5,October,6-Oct,PA062271,5
249,crest,bleached,5,May,23-May,P5231528,1
249,crest,healthy,5,October,6-Oct,PA062266,5
250,crest,healthy,5,May,23-May,P5231531,5
251,crest,bleached,5,May,23-May,P5231534,1
252,crest,healthy,5,May,23-May,P5231537,5
253,crest,bleached,5,May,23-May,P5231539,1
254,crest,healthy,5,May,23-May,P5231542,3
254,crest,healthy,5,October,6-Oct,PA062325,4
255,crest,healthy,5,May,23-May,P5231544,5
255,crest,healthy,5,October,6-Oct,PA062322,5
256,crest,healthy,5,May,23-May,P5231546,5
256,crest,healthy,5,October,6-Oct,PA062319,4
257,crest,healthy,5,May,23-May,P5231548,4
257,crest,healthy,5,October,6-Oct,PA062315,4
258,crest,bleached,5,May,23-May,P5231550,1
259,crest,healthy,5,May,23-May,P5231554,5
259,crest,healthy,5,October,6-Oct,PA062311,5
260,crest,healthy,5,May,23-May,P5231556,4
260,crest,healthy,5,October,6-Oct,PA062309,5
261,crest,bleached,5,May,23-May,P5231558,2
262,crest,healthy,5,May,23-May,P5231560,5
262,crest,healthy,5,October,6-Oct,PA062304,5
263,crest,healthy,5,May,23-May,P5231562,5
263,crest,healthy,5,October,6-Oct,PA062301,5
