Sample	A1-3040-A1ee-3042	A1	A1/3040_A-A1ee	A1-A1bn-A1ac-A1ad	A1ee	C1-C1c-C1b-C1al	C3ae/C3g/C3/C3f-C21-C3bj	C1	C3ae-C3-C3f-C3bj-C3p	C3ae-C3-C3f-C3bj-C3p-C3ch	C3ae	C3bj	C116	C3v	C115k	D1-D6-D4-D1d-D2.2-D1b	D1/D2d	D1/D2d-3098_D	D1-D4-D1u	D6	D1/D2d-3098_D-3076_D
10NBOb2	161170	0	0	0	0	0	0	299	0	0	0	0	0	0	0	0	0	0	0	0	0
11NBOb	0	0	0	0	0	37273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12NBOb2	282	0	0	0	0	18372	0	0	0	0	0	0	0	0	0	20156	0	0	0	0	0
13NBOb2	132260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14NBOb	0	1043	0	0	0	10935	0	0	7292	0	0	0	0	0	0	32563	0	0	0	0	0
15NBOb	0	88476	0	0	0	0	2768	1282	0	0	0	0	0	0	0	0	1121	0	0	364	0
17NBOb	0	0	0	0	0	1797	0	0	0	0	0	0	0	0	0	41937	0	0	0	0	0
18NBOb	0	0	0	0	0	0	0	0	0	5927	0	0	0	0	0	32522	0	0	0	0	0
19NBOb	0	23249	0	0	0	25227	0	0	0	0	0	0	0	0	0	0	110	0	0	64	0
1NBOb	0	595	0	0	0	954	0	0	0	0	0	0	0	0	0	0	0	0	51801	0	0
20NBOb	55809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
214Mc2	62923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
215Mc	656129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
216Mc2	0	392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0	0
217Mc	13257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
