,Sample,depth_m,reef_zone,month,response,bleaching_status,A1,A1ee,C1,C3ae,C3/C115/C116,D1,D6,Individual
Sample1,10NBOb2,1,backreef,October,unknown,healthy,909960.427,0,1688.143995,0,0,0,0,10N
Sample2,11NBOb,1,backreef,October,unknown,healthy,0,0,909960.427,0,0,0,0,11N
Sample3,12NBOb2,1,backreef,October,unknown,healthy,909960.427,0,59282953.78,0,0,65039582.86,0,12N
Sample4,13NBOb2,1,backreef,October,unknown,healthy,909960.427,0,0,0,0,0,0,13N
Sample5,14NBOb,1,backreef,October,unknown,healthy,18310.51117,0,191970.6995,128015.5776,0,571663.6387,0,14N
Sample6,15NBOb,1,backreef,October,unknown,healthy,856385.516,0,12408.85926,26792.29518,0,10850.49238,3523.26425,15N
Sample7,17NBOb,1,backreef,October,unknown,healthy,0,0,37389.6485,0,0,872570.7785,0,17N
Sample8,18NBOb,1,backreef,October,unknown,healthy,0,0,0,140272.4505,0,769687.9765,0,18N
Sample9,19NBOb,1,backreef,October,unknown,healthy,434854.4701,0,471851.4223,0,0,2057.46448,1197.070243,19N
Sample10,1NBOb,1,backreef,October,unknown,healthy,10148.57458,0,16271.83219,0,0,883540.0203,0,1NB
Sample11,20NBOb,1,backreef,October,unknown,healthy,909960.427,0,0,0,0,0,0,20N
Sample12,214Mc2,5,crest,May,resistant,healthy,909960.427,0,0,0,0,0,0,214
Sample13,215Mc,5,crest,May,resistant,healthy,909960.427,0,0,0,0,0,0,215
Sample14,216Mc2,5,crest,May,died,bleached,592532.3711,0,0,0,0,317428.0559,0,216
Sample15,217Mc,5,crest,May,resistant,healthy,909960.427,0,0,0,0,0,0,217
Sample16,217Oc2,5,crest,October,resistant,healthy,909960.427,0,0,0,0,0,0,217
Sample17,218Mc2,5,crest,May,resistant,healthy,909960.427,0,0,0,0,0,0,218
Sample18,220Mc,5,crest,May,unknown,bleached,909960.427,0,0,0,0,0,0,220
Sample19,221Mc,5,crest,May,unknown,bleached,828108.539,0,0,61539.93428,20311.95377,0,0,221
Sample20,222Mc2,5,crest,May,unknown,bleached,754478.9997,0,0,100131.4722,0,55349.95511,0,222
Sample21,225Mc2,5,crest,May,resistant,healthy,909960.427,0,0,0,0,0,0,225
Sample22,226Mc2,5,crest,May,resistant,healthy,909960.427,0,0,0,0,0,0,226
Sample23,226Oc2,5,crest,October,resistant,healthy,909960.427,0,0,0,53806.98705,0,0,226
Sample24,227Mc2,5,crest,May,resistant,healthy,909960.427,0,0,0,0,0,0,227
Sample25,227Oc,5,crest,October,resistant,healthy,909960.427,0,0,0,0,0,0,227
Sample26,228Mc,5,crest,May,resistant,healthy,909960.427,0,0,0,0,0,0,228
Sample27,228Oc,5,crest,October,resistant,healthy,909960.427,0,0,0,0,0,0,228
Sample28,229Mc,5,crest,May,died,bleached,909960.427,0,0,0,9505.759447,0,0,229
Sample29,22NBOb,1,backreef,October,unknown,healthy,909960.427,0,0,0,0,0,0,22N
Sample30,230Mc2,5,crest,May,resistant,healthy,909960.427,0,0,0,0,0,0,230
